ZONA,NomeZona,NumeroMuni,NomeMunici,NumDistrit,NomeDistri,Area_ha_2,indirect2,indirect,direct,d1cptm,d2cptm,d3cptm,Vol00_Vol00_sum,Vol05_Vol05_sum,Vol10_Vol10_sum,Vol15_Vol15_sum,Vol20_Vol20_sum,Vol95_Vol95_sum
489,Osasco,24,Osasco,120,Osasco,188.93,0,0,0,0,0,0,9907030,9908850,9910661,9912115,9912115,9900128
490,Vila Yara,24,Osasco,120,Osasco,243.57,0,0,0,0,0,0,13414511,13475429,13536321,13585703,13589033,13317958
491,Bussocaba City,24,Osasco,120,Osasco,469.51,0,0,0,0,0,0,18746740,19194098,19664177,20089936,20265370,18599791
492,Nova Granada,24,Osasco,120,Osasco,546.33,0,0,0,0,0,0,28017429,28017429,28017429,28020670,28036853,28017429
493,Recanto das Rosas,24,Osasco,120,Osasco,389.45,0,0,0,0,0,0,10126459,10721326,11369760,12047969,12268711,7874728
494,Jardim Novo Osasco,24,Osasco,120,Osasco,354.18,0,0,0,0,0,0,20207444,20313501,20489169,20691088,20764043,19623652
495,Jardim Veloso,24,Osasco,120,Osasco,678.57,0,0,0,0,0,0,37782393,37954990,38127613,38321253,38382478,36797768
496,Quitaúna,24,Osasco,120,Osasco,552.51,0,0,0,0,0,0,24516350,24661274,24813482,24944784,25007388,24160035
497,Jardim Piratininga,24,Osasco,120,Osasco,350.75,0,0,0,0,0,0,5950708,5989241,6028553,6071388,6143060,5583412
498,Presidente Altino,24,Osasco,120,Osasco,247.56,0,0,0,0,0,0,7185352,7185459,7185566,7193069,7230128,7184825
499,Munhoz Junior,24,Osasco,120,Osasco,722.7,0,0,0,0,0,0,34334561,34460149,34707280,34886816,34905041,33855627
500,Rochdale,24,Osasco,120,Osasco,366.25,0,0,0,0,0,0,17189942,17311372,17432781,17540095,17598468,17041531
501,Mutinga,24,Osasco,120,Osasco,442.02,0,0,0,0,0,0,22324593,22383886,22443162,22494345,22513783,22115063
502,Três Montanhas,24,Osasco,120,Osasco,957.92,0,0,0,0,0,1,19896236,21820687,24397881,27042997,27886514,15993254
503,Ribeirão Itaqui,19,Jandira,115,Jandira,356.79,0,0,0,0,0,0,7961312,8961672,10476773,11998932,12454988,7713004
504,Jandira,19,Jandira,115,Jandira,680.44,0,0,0,0,0,0,36801797,37494486,38228523,38945638,39059366,35714346
505,Ribeirão das Pombas,19,Jandira,115,Jandira,712.09,0,0,0,0,0,0,4045144,5003400,6646014,8416776,10077223,3666260
506,Granja Viana,7,Cotia,103,Cotia,1639.63,0,0,0,0,0,0,22730194,25323363,28286882,31365683,33756270,20581241
507,Fernando Nobre,7,Cotia,103,Cotia,1976.97,0,0,0,0,0,0,21767538,24445109,28054998,32376090,35709371,19933240
508,Cotia,7,Cotia,103,Cotia,8045.11,0,0,0,0,0,0,46757248,51424616,57946431,65838201,72125180,41736554
509,Capueira,7,Cotia,103,Cotia,2229.93,0,0,0,0,0,0,211952,432915,875820,1461478,2071672,100144
510,Caucaia,7,Cotia,103,Cotia,10265.92,0,0,0,0,0,0,1750,8807,20896,29425,39093,929
511,Caucaia do Alto,7,Cotia,103,Cotia,8316.36,0,0,0,0,0,0,7484046,9515563,12662957,16133823,17849614,5530687
512,Vargem Grande Paulista,39,Vargem Grande Paulista,134,Vargem Grande Paulista,4257.94,0,0,0,0,0,0,17447303,20357092,24696064,29453484,32292577,14044785
513,Quatro Encruzilhadas,17,Itapevi,113,Itapevi,2101.43,0,0,0,0,0,0,83209,135404,244508,451475,1038052,61957
514,Itapevi,17,Itapevi,113,Itapevi,1070.03,0,0,0,0,0,0,43823238,44964777,46465255,48363408,49746688,42333497
515,Amador Bueno,17,Itapevi,113,Itapevi,5113.23,0,0,0,0,0,0,41636692,43943465,47079339,50512201,52586422,38550785
516,Santana de Parnaíba,31,Santana de Parnaíba,127,Santana de Parnaíba,18034.76,0,0,0,0,0,0,76157552,82006856,90493984,100844000,110005275,66389923
517,Pirapora do Bom Jesus,25,Pirapora do Bom Jesus,121,Pirapora do Bom Jesus,10876.89,0,0,0,0,0,0,5100346,5450084,5898405,6467552,7434763,4748150
